canvassim,15a           ,15a-charge      ,15b-charge,15b,21-1,21-2,43-charge,43,55-charge,55,65,70-charge,70,78a-charge,78a,78b-charge,78b,80,81-charge,81,82,83,84,85-1,85-2,85-3,86,96-charge,96,97-charge,97,98-charge,98,99-charge,99,100-charge,100,101-charge,101,102-charge,102,103-charge,103,104-charge,104,105-charge,105,151831        ,CheCOSP01-t,CheCOSP02,CheCOSP03,CheCOSP04-t,CheCOSP05-t,CheCOSP06,CheCOSP07-t,CheCOSP08-t,CheCOSP09,CheCOSP010-c,CheCOSP11-t,CheCOSP12,CheCOSP13-t,CheCOSP14,CheCOSP15-t,CheCOSP19,CheCOSP20,CheCOSP21,CheCOSP22,CheCOSP23,CheCOSP24,CheCOSP25,CheCOSP26-charge,CheCOSP26,CheCOSP27,CheCOSP28,CheCOSP29,CheCOSP30-R-charge,CheCOSP30-R,CheCOSP31,CheCOSP32,CheCOSP33-R-charge,CheCOSP33-R,CheCOSP34,CheCOSP35-charge,CheCOSP35,CheCOSP36-R-1,CheCOSP36-R,CheCOSP37,CheCOSP38-charge,CheCOSP38,CheCOSP39,CheCOSP40-charge,CheCOSP40,CheCOSP41,CheCOSP42-R,CheCOSP43-R,CheCOSP44,CheCOSP45,CheCOSP46,CheCOSP47,CheCOSP48,CheCOSP49,CheCOSP50,CheCOSP51,CheCOSP52,CheCOSP53,CheCOSP54-charge,CheCOSP54,CheCOSP55,CheCOSP56,CheCOSP57-charge,CheCOSP57,CheCOSP58-R-1,CheCOSP58-R,CheCOSP59-charge,CheCOSP59,CheCOSP60,CheCOSP61,CheCOSP62-charge,CheCOSP62,CheCOSP63,CheCOSP64-1,CheCOSP64,DHN1           ,DHN2           ,goniothalamin ,LA1011-1        ,LA1011-2       ,LA1014        ,LA1014-charge     ,LA1026-1     ,LA1026-2    ,Novobiocin    ,ZINC06648713-1,ZINC09256574  
CheCOSP30-R-charge,0.491803,0.516129,0.516129,0.491803,0.484375,0.476923,0.477612,0.454545,0.532258,0.5,0.46875,0.557377,0.52459,0.55,0.516667,0.55,0.516667,0.596491,0.491525,0.525424,0.568965,0.516129,0.52381,0.515625,0.515625,0.492063,0.474576,0.515152,0.492308,0.538462,0.515625,0.546875,0.52381,0.478873,0.457143,0.516129,0.491803,0.483871,0.459016,0.483871,0.459016,0.483871,0.459016,0.532258,0.508197,0.507937,0.483871,0.377049,0.444444,0.479167,0.458333,0.408163,0.387755,0.611111,0.545455,0.545455,0.509434,0.444444,0.444444,0.611111,0.545455,0.611111,0.545455,0.411765,0.464286,0.509434,0.611111,0.428571,0.530612,0.54902,0.788462,0.692308,0.826923,0.559322,0.387755,1,0.895833,0.403846,0.714286,0.833333,0.795918,0.54902,0.629032,0.557377,0.733333,0.766667,0.693878,0.618182,0.690909,0.528302,0.607143,0.678571,0.714286,0.727273,0.701754,0.509434,0.611111,0.592593,0.592593,0.592593,0.592593,0.592593,0.592593,0.703704,0.703704,0.678571,0.649123,0.428571,0.392157,0.754717,0.660377,0.704918,0.737705,0.754717,0.660377,0.792453,0.773585,0.735849,0.641509,0.563636,0.7,0.683333,0.491525,0.45,0.192308,0.439394,0.439394,0.428571,0.362319,0.46875,0.46875,0.439394,0.352941,0.333333
CheCOSP30-R,0.482759,0.459016,0.459016,0.482759,0.428571,0.421875,0.424242,0.444444,0.47541,0.491525,0.412698,0.5,0.491525,0.491525,0.482759,0.491525,0.482759,0.535714,0.482143,0.465517,0.508772,0.459016,0.444444,0.460317,0.460317,0.483333,0.413793,0.461538,0.483871,0.484375,0.508197,0.46875,0.491803,0.428571,0.447761,0.459016,0.482759,0.42623,0.448276,0.42623,0.448276,0.42623,0.448276,0.47541,0.5,0.451613,0.474576,0.362069,0.46,0.534884,0.511628,0.454545,0.431818,0.576923,0.509434,0.509434,0.530612,0.46,0.46,0.576923,0.509434,0.576923,0.509434,0.456522,0.480769,0.530612,0.576923,0.477273,0.590909,0.574468,0.76,0.765957,0.764706,0.611111,0.431818,0.895833,1,0.416667,0.654545,0.765957,0.765957,0.608696,0.6,0.607143,0.706897,0.683333,0.659574,0.647059,0.660377,0.55102,0.634615,0.648148,0.654545,0.666667,0.642857,0.530612,0.576923,0.588235,0.588235,0.588235,0.588235,0.588235,0.588235,0.641509,0.641509,0.618182,0.618182,0.477273,0.434783,0.72549,0.729167,0.677966,0.655738,0.72549,0.729167,0.730769,0.711538,0.705882,0.708333,0.528302,0.672414,0.655172,0.45614,0.464286,0.212766,0.40625,0.40625,0.397059,0.390625,0.435484,0.435484,0.40625,0.338462,0.318182
CheCOSP31,0.307692,0.314815,0.314815,0.307692,0.309091,0.303571,0.288136,0.280702,0.333333,0.320755,0.314815,0.333333,0.320755,0.320755,0.307692,0.320755,0.307692,0.307692,0.3,0.313726,0.307692,0.314815,0.303571,0.298246,0.298246,0.290909,0.333333,0.327586,0.321429,0.327586,0.321429,0.333333,0.327273,0.28125,0.274194,0.314815,0.307692,0.277778,0.269231,0.277778,0.269231,0.277778,0.269231,0.333333,0.326923,0.333333,0.326923,0.386364,0.666667,0.6,0.678571,0.703704,0.8,0.488372,0.55,0.55,0.583333,0.666667,0.666667,0.488372,0.55,0.488372,0.55,0.633333,0.552632,0.583333,0.488372,0.678571,0.625,0.647059,0.4,0.382979,0.384615,0.408163,0.551724,0.403846,0.416667,1,0.489796,0.477273,0.444444,0.473684,0.392857,0.384615,0.35,0.33871,0.5,0.5,0.489362,0.487179,0.522727,0.510638,0.489796,0.411765,0.396226,0.583333,0.488372,0.5,0.5,0.5,0.5,0.5,0.5,0.468085,0.468085,0.44898,0.42,0.678571,0.655172,0.4,0.382979,0.35,0.33871,0.4,0.382979,0.384615,0.339623,0.352941,0.333333,0.431818,0.362069,0.344828,0.444444,0.454545,0.444444,0.285714,0.285714,0.262295,0.245614,0.290909,0.290909,0.411765,0.38,0.277778
CheCOSP32,0.625,0.649123,0.649123,0.625,0.637931,0.627119,0.596774,0.57377,0.666667,0.631579,0.62069,0.696429,0.660714,0.690909,0.654545,0.690909,0.654545,0.784314,0.62963,0.666667,0.75,0.649123,0.627119,0.672414,0.672414,0.649123,0.611111,0.694915,0.672414,0.666667,0.644068,0.65,0.627119,0.590909,0.569231,0.649123,0.625,0.614035,0.589286,0.614035,0.589286,0.614035,0.589286,0.637931,0.614035,0.666667,0.642857,0.5,0.392857,0.392157,0.346154,0.4375,0.387755,0.45,0.491228,0.491228,0.355932,0.392857,0.392857,0.45,0.491228,0.45,0.491228,0.44,0.438596,0.355932,0.45,0.346154,0.388889,0.519231,0.788462,0.692308,0.862745,0.586207,0.283019,0.714286,0.654545,0.489796,1,0.571429,0.54386,0.410714,0.683333,0.610169,0.650794,0.65625,0.482143,0.816327,0.897959,0.5,0.836735,0.918367,1,0.557377,0.564516,0.355932,0.45,0.433333,0.433333,0.433333,0.433333,0.433333,0.433333,0.508197,0.508197,0.492063,0.46875,0.346154,0.339623,0.788462,0.692308,0.650794,0.65625,0.788462,0.692308,0.862745,0.807692,0.735849,0.641509,0.409836,0.645161,0.655738,0.491525,0.526316,0.265306,0.610169,0.610169,0.5625,0.492063,0.62069,0.62069,0.41791,0.460317,0.393939
CheCOSP33-R-charge,0.40678,0.433333,0.433333,0.40678,0.403226,0.396825,0.4,0.375,0.45,0.416667,0.387097,0.474576,0.440678,0.465517,0.431034,0.465517,0.431034,0.45614,0.37931,0.413793,0.431034,0.457627,0.466667,0.435484,0.435484,0.409836,0.490566,0.415385,0.390625,0.4375,0.412698,0.467742,0.442623,0.405797,0.382353,0.433333,0.40678,0.4,0.372881,0.4,0.372881,0.4,0.372881,0.45,0.423729,0.42623,0.4,0.381818,0.521739,0.536585,0.55,0.452381,0.463415,0.717391,0.638298,0.638298,0.6,0.521739,0.521739,0.717391,0.638298,0.717391,0.638298,0.454545,0.510204,0.6,0.717391,0.512195,0.595238,0.651163,0.666667,0.6,0.673077,0.555556,0.463415,0.833333,0.765957,0.477273,0.571429,1,0.951219,0.651163,0.55,0.5,0.655172,0.689655,0.829268,0.528302,0.574074,0.586957,0.518519,0.563636,0.571429,0.851064,0.816327,0.6,0.717391,0.695652,0.695652,0.695652,0.695652,0.695652,0.695652,0.826087,0.826087,0.791667,0.755102,0.512195,0.465116,0.634615,0.568627,0.627119,0.661017,0.634615,0.568627,0.641509,0.622642,0.615385,0.54902,0.659574,0.649123,0.603448,0.509434,0.410714,0.227273,0.318182,0.318182,0.352941,0.30303,0.34375,0.34375,0.42623,0.354839,0.354839
CheCOSP33-R,0.40678,0.409836,0.409836,0.40678,0.380952,0.375,0.378788,0.375,0.42623,0.416667,0.365079,0.45,0.440678,0.440678,0.431034,0.440678,0.431034,0.431034,0.37931,0.38983,0.40678,0.433333,0.442623,0.412698,0.412698,0.409836,0.490566,0.393939,0.390625,0.415385,0.412698,0.444444,0.442623,0.385714,0.382353,0.409836,0.40678,0.377049,0.372881,0.377049,0.372881,0.377049,0.372881,0.42623,0.423729,0.403226,0.4,0.357143,0.521739,0.536585,0.55,0.452381,0.463415,0.717391,0.638298,0.638298,0.6,0.521739,0.521739,0.717391,0.638298,0.717391,0.638298,0.454545,0.510204,0.6,0.717391,0.512195,0.595238,0.613636,0.634615,0.6,0.641509,0.555556,0.463415,0.795918,0.765957,0.444444,0.54386,0.951219,1,0.651163,0.52459,0.5,0.627119,0.661017,0.829268,0.5,0.545455,0.553191,0.490909,0.535714,0.54386,0.851064,0.816327,0.6,0.717391,0.695652,0.695652,0.695652,0.695652,0.695652,0.695652,0.787234,0.787234,0.755102,0.791667,0.512195,0.465116,0.603774,0.568627,0.6,0.633333,0.603774,0.568627,0.611111,0.592593,0.584906,0.54902,0.659574,0.62069,0.576271,0.509434,0.410714,0.227273,0.298507,0.298507,0.333333,0.30303,0.323077,0.323077,0.45,0.354839,0.354839
CheCOSP34,0.298246,0.283333,0.283333,0.298246,0.278689,0.274194,0.261538,0.274194,0.3,0.310345,0.262295,0.322034,0.333333,0.310345,0.321429,0.310345,0.321429,0.298246,0.290909,0.280702,0.298246,0.305085,0.295082,0.290323,0.290323,0.305085,0.320755,0.276923,0.290323,0.276923,0.290323,0.301587,0.316667,0.275362,0.287879,0.283333,0.298246,0.25,0.263158,0.25,0.263158,0.25,0.263158,0.278689,0.293103,0.278689,0.293103,0.264151,0.564103,0.6875,0.606061,0.575758,0.5,0.707317,0.619048,0.619048,0.657895,0.564103,0.564103,0.707317,0.619048,0.707317,0.619048,0.486486,0.547619,0.657895,0.707317,0.558824,0.705882,0.771429,0.52,0.577778,0.5,0.530612,0.5,0.54902,0.608696,0.473684,0.410714,0.651163,0.651163,1,0.423729,0.471698,0.474576,0.459016,0.783784,0.469388,0.433962,0.684211,0.46,0.425926,0.410714,0.591837,0.538462,0.657895,0.707317,0.682927,0.682927,0.682927,0.682927,0.682927,0.682927,0.595745,0.595745,0.604167,0.604167,0.558824,0.5,0.490196,0.543478,0.45,0.435484,0.490196,0.543478,0.471698,0.45283,0.470588,0.521739,0.642857,0.465517,0.473684,0.44898,0.346154,0.285714,0.21875,0.21875,0.238806,0.262295,0.241935,0.241935,0.344828,0.293103,0.271186
CheCOSP35-charge,0.627119,0.677966,0.677966,0.627119,0.724138,0.711864,0.625,0.578125,0.694915,0.661017,0.736842,0.754386,0.719298,0.719298,0.684211,0.719298,0.684211,0.6,0.55,0.583333,0.627119,0.706897,0.711864,0.758621,0.758621,0.706897,0.559322,0.640625,0.59375,0.640625,0.59375,0.704918,0.655738,0.641791,0.597015,0.677966,0.627119,0.644068,0.59322,0.644068,0.59322,0.644068,0.59322,0.666667,0.616667,0.666667,0.616667,0.459016,0.33871,0.433962,0.388889,0.37037,0.327273,0.460317,0.40625,0.40625,0.393443,0.33871,0.33871,0.460317,0.40625,0.460317,0.40625,0.4,0.403226,0.393443,0.460317,0.363636,0.428571,0.5,0.781818,0.690909,0.724138,0.796296,0.327273,0.629032,0.6,0.392857,0.683333,0.55,0.52459,0.423729,1,0.886792,0.87931,0.85,0.466667,0.678571,0.75,0.508772,0.666667,0.736842,0.683333,0.5625,0.619048,0.393443,0.460317,0.444444,0.444444,0.444444,0.444444,0.444444,0.444444,0.515625,0.515625,0.5,0.477612,0.363636,0.333333,0.75,0.660714,0.847458,0.819672,0.75,0.660714,0.694915,0.677966,0.732143,0.642857,0.421875,0.754098,0.79661,0.430769,0.460317,0.175439,0.5625,0.5625,0.640625,0.546875,0.596774,0.596774,0.351351,0.447761,0.515625
CheCOSP35,0.607143,0.576271,0.576271,0.607143,0.62069,0.610169,0.53125,0.557377,0.59322,0.614035,0.631579,0.649123,0.672727,0.614035,0.636364,0.614035,0.636364,0.525424,0.526316,0.508475,0.525424,0.603448,0.610169,0.655172,0.655172,0.690909,0.457627,0.546875,0.57377,0.546875,0.57377,0.606557,0.637931,0.552239,0.578125,0.576271,0.607143,0.542373,0.571429,0.542373,0.571429,0.542373,0.571429,0.566667,0.596491,0.566667,0.596491,0.40678,0.350877,0.489362,0.408163,0.416667,0.34,0.433333,0.377049,0.377049,0.410714,0.350877,0.350877,0.433333,0.377049,0.433333,0.377049,0.42,0.421053,0.410714,0.433333,0.38,0.45098,0.529412,0.703704,0.77551,0.649123,0.895833,0.34,0.557377,0.607143,0.384615,0.610169,0.5,0.5,0.471698,0.886792,1,0.775862,0.75,0.438596,0.72549,0.672727,0.538462,0.711538,0.660714,0.610169,0.516129,0.548387,0.410714,0.433333,0.416667,0.416667,0.416667,0.416667,0.416667,0.416667,0.467742,0.467742,0.453125,0.453125,0.38,0.346154,0.672727,0.74,0.745763,0.721311,0.672727,0.74,0.62069,0.603448,0.654545,0.72,0.393443,0.683333,0.694915,0.403226,0.457627,0.196078,0.492063,0.492063,0.546875,0.603448,0.52459,0.52459,0.342857,0.4,0.444444
CheCOSP36-R-1,0.622951,0.672131,0.672131,0.622951,0.634921,0.625,0.621212,0.575758,0.688525,0.655738,0.645161,0.745763,0.711864,0.711864,0.677966,0.711864,0.677966,0.571429,0.476923,0.507692,0.571429,0.672131,0.677419,0.721311,0.721311,0.672131,0.532258,0.636364,0.590909,0.661538,0.615385,0.698413,0.650794,0.637681,0.594203,0.672131,0.622951,0.639344,0.590164,0.639344,0.590164,0.639344,0.590164,0.688525,0.639344,0.66129,0.612903,0.393939,0.387097,0.410714,0.392857,0.350877,0.333333,0.532258,0.47619,0.47619,0.442623,0.387097,0.387097,0.532258,0.47619,0.532258,0.47619,0.403509,0.451613,0.442623,0.532258,0.368421,0.45614,0.474576,0.77193,0.684211,0.745763,0.724138,0.333333,0.733333,0.706897,0.35,0.650794,0.655172,0.627119,0.474576,0.87931,0.775862,1,0.965517,0.542373,0.616667,0.683333,0.508475,0.606557,0.672131,0.650794,0.66129,0.721311,0.442623,0.532258,0.516129,0.516129,0.516129,0.516129,0.516129,0.516129,0.612903,0.612903,0.59375,0.569231,0.368421,0.338983,0.741379,0.655172,0.964912,0.932203,0.741379,0.655172,0.716667,0.7,0.724138,0.637931,0.492063,0.803279,0.816667,0.454545,0.461538,0.166667,0.492754,0.492754,0.588235,0.5,0.522388,0.522388,0.355263,0.388889,0.449275
CheCOSP36-R,0.629032,0.677419,0.677419,0.629032,0.640625,0.630769,0.626866,0.58209,0.693548,0.66129,0.650794,0.75,0.716667,0.716667,0.683333,0.716667,0.683333,0.578125,0.484848,0.515152,0.578125,0.677419,0.709677,0.725806,0.725806,0.677419,0.539683,0.641791,0.597015,0.666667,0.621212,0.730159,0.68254,0.642857,0.6,0.677419,0.629032,0.645161,0.596774,0.645161,0.596774,0.645161,0.596774,0.693548,0.645161,0.666667,0.619048,0.402985,0.396825,0.396552,0.37931,0.338983,0.322034,0.564516,0.507937,0.507937,0.451613,0.396825,0.396825,0.564516,0.507937,0.564516,0.507937,0.38983,0.460317,0.451613,0.564516,0.355932,0.440678,0.459016,0.745763,0.661017,0.75,0.7,0.322034,0.766667,0.683333,0.33871,0.65625,0.689655,0.661017,0.459016,0.85,0.75,0.965517,1,0.576271,0.596774,0.66129,0.491803,0.587302,0.650794,0.65625,0.693548,0.754098,0.451613,0.564516,0.548387,0.548387,0.548387,0.548387,0.548387,0.548387,0.645161,0.645161,0.625,0.6,0.355932,0.327869,0.716667,0.633333,0.932203,0.966102,0.716667,0.633333,0.721311,0.704918,0.7,0.616667,0.52381,0.806452,0.790323,0.484848,0.447761,0.16129,0.478873,0.478873,0.571429,0.485714,0.507246,0.507246,0.381579,0.39726,0.43662
CheCOSP37,0.344828,0.35,0.35,0.344828,0.344262,0.33871,0.323077,0.31746,0.366667,0.355932,0.327869,0.38983,0.37931,0.37931,0.368421,0.37931,0.368421,0.368421,0.339286,0.350877,0.368421,0.372881,0.383333,0.354839,0.354839,0.35,0.396226,0.338462,0.333333,0.359375,0.354839,0.387097,0.383333,0.333333,0.328358,0.35,0.344828,0.316667,0.310345,0.316667,0.310345,0.316667,0.310345,0.366667,0.362069,0.344262,0.338983,0.314815,0.625,0.611111,0.628571,0.513514,0.527778,0.85,0.756098,0.756098,0.717949,0.625,0.625,0.85,0.756098,0.85,0.756098,0.512821,0.604651,0.717949,0.85,0.583333,0.722222,0.692308,0.568627,0.530612,0.576923,0.490566,0.527778,0.693878,0.659574,0.5,0.482143,0.829268,0.829268,0.783784,0.466667,0.438596,0.542373,0.576271,1,0.433962,0.481481,0.619048,0.425926,0.472727,0.482143,0.708333,0.68,0.717949,0.85,0.825,0.825,0.825,0.825,0.825,0.825,0.717391,0.717391,0.723404,0.723404,0.583333,0.526316,0.538462,0.5,0.516667,0.55,0.538462,0.5,0.54717,0.528302,0.519231,0.48,0.780488,0.561404,0.517241,0.530612,0.37037,0.25641,0.261538,0.261538,0.279412,0.246154,0.285714,0.285714,0.413793,0.338983,0.316667
CheCOSP38-charge,0.555556,0.553571,0.553571,0.555556,0.571429,0.561404,0.508197,0.508475,0.571429,0.563636,0.553571,0.6,0.592593,0.592593,0.584906,0.592593,0.584906,0.647059,0.588235,0.596154,0.647059,0.553571,0.534483,0.578947,0.578947,0.581818,0.509434,0.576271,0.578947,0.55,0.551724,0.559322,0.561404,0.507692,0.507937,0.553571,0.555556,0.517857,0.518519,0.517857,0.518519,0.517857,0.518519,0.54386,0.545455,0.571429,0.574074,0.480769,0.392157,0.454545,0.369565,0.47619,0.386364,0.428571,0.444444,0.444444,0.377358,0.392157,0.392157,0.428571,0.444444,0.428571,0.444444,0.477273,0.470588,0.377358,0.428571,0.369565,0.416667,0.6,0.791667,0.840909,0.72549,0.7,0.297872,0.618182,0.647059,0.5,0.816327,0.528302,0.5,0.469388,0.678571,0.72549,0.616667,0.596774,0.433962,1,0.911111,0.574468,0.97619,0.891304,0.816327,0.517241,0.525424,0.377358,0.428571,0.410714,0.410714,0.410714,0.410714,0.410714,0.410714,0.491228,0.491228,0.474576,0.45,0.369565,0.361702,0.791667,0.840909,0.616667,0.596774,0.791667,0.840909,0.72549,0.673077,0.734694,0.777778,0.385965,0.637931,0.649123,0.472727,0.568627,0.27907,0.517241,0.517241,0.5,0.526316,0.526316,0.526316,0.396825,0.393443,0.349206
CheCOSP38,0.6,0.625,0.625,0.6,0.642857,0.631579,0.57377,0.55,0.642857,0.607143,0.625,0.672727,0.636364,0.666667,0.62963,0.666667,0.62963,0.72549,0.634615,0.673077,0.72549,0.625,0.603448,0.649123,0.649123,0.625,0.584906,0.644068,0.62069,0.616667,0.59322,0.627119,0.603448,0.569231,0.546875,0.625,0.6,0.589286,0.563636,0.589286,0.563636,0.589286,0.563636,0.614035,0.589286,0.642857,0.618182,0.5,0.388889,0.416667,0.367347,0.434783,0.382979,0.448276,0.464286,0.464286,0.375,0.388889,0.388889,0.448276,0.464286,0.448276,0.464286,0.468085,0.462963,0.375,0.448276,0.367347,0.411765,0.55102,0.875,0.770833,0.803922,0.648148,0.3,0.690909,0.660377,0.489362,0.897959,0.574074,0.545455,0.433962,0.75,0.672727,0.683333,0.66129,0.481481,0.911111,1,0.529412,0.891304,0.978261,0.897959,0.559322,0.566667,0.375,0.448276,0.431034,0.431034,0.431034,0.431034,0.431034,0.431034,0.508475,0.508475,0.491803,0.467742,0.367347,0.36,0.875,0.770833,0.683333,0.66129,0.875,0.770833,0.803922,0.75,0.816327,0.714286,0.40678,0.677966,0.719298,0.491228,0.584906,0.255319,0.586207,0.586207,0.564516,0.491803,0.596491,0.596491,0.415385,0.435484,0.412698
CheCOSP39,0.333333,0.338983,0.338983,0.333333,0.355932,0.35,0.3125,0.306452,0.355932,0.344828,0.338983,0.37931,0.368421,0.368421,0.357143,0.368421,0.357143,0.381818,0.351852,0.363636,0.381818,0.385965,0.372881,0.366667,0.366667,0.362069,0.384615,0.328125,0.322581,0.328125,0.322581,0.354839,0.35,0.323529,0.318182,0.338983,0.333333,0.305085,0.298246,0.305085,0.298246,0.305085,0.298246,0.333333,0.327586,0.333333,0.327586,0.352941,0.431818,0.647059,0.571429,0.542857,0.472222,0.565217,0.489362,0.489362,0.511628,0.431818,0.431818,0.565217,0.489362,0.565217,0.489362,0.540541,0.488889,0.511628,0.565217,0.527778,0.578947,0.72973,0.625,0.659091,0.6,0.604167,0.472222,0.528302,0.55102,0.487179,0.5,0.586957,0.553191,0.684211,0.508772,0.538462,0.508475,0.491803,0.619048,0.574468,0.529412,1,0.5625,0.519231,0.5,0.538462,0.54717,0.511628,0.565217,0.543478,0.543478,0.543478,0.543478,0.543478,0.543478,0.509804,0.509804,0.519231,0.490566,0.527778,0.513514,0.591837,0.622222,0.483333,0.467742,0.591837,0.622222,0.568627,0.54902,0.571429,0.6,0.510638,0.526316,0.535714,0.351852,0.384615,0.236842,0.311475,0.311475,0.328125,0.338983,0.316667,0.316667,0.290323,0.327586,0.305085
CheCOSP40-charge,0.545455,0.54386,0.54386,0.545455,0.561404,0.551724,0.5,0.5,0.561404,0.553571,0.54386,0.589286,0.581818,0.581818,0.574074,0.581818,0.574074,0.634615,0.576923,0.584906,0.634615,0.54386,0.525424,0.568965,0.568965,0.571429,0.5,0.59322,0.596491,0.566667,0.568965,0.55,0.551724,0.5,0.5,0.54386,0.545455,0.508772,0.509091,0.508772,0.509091,0.508772,0.509091,0.534483,0.535714,0.561404,0.563636,0.471698,0.411765,0.444444,0.361702,0.5,0.409091,0.421053,0.462963,0.462963,0.37037,0.411765,0.411765,0.421053,0.462963,0.421053,0.462963,0.466667,0.461538,0.37037,0.421053,0.361702,0.408163,0.586957,0.77551,0.822222,0.711538,0.686275,0.291667,0.607143,0.634615,0.522727,0.836735,0.518519,0.490909,0.46,0.666667,0.711538,0.606557,0.587302,0.425926,0.97619,0.891304,0.5625,1,0.913043,0.836735,0.508475,0.516667,0.37037,0.421053,0.403509,0.403509,0.403509,0.403509,0.403509,0.403509,0.482759,0.482759,0.466667,0.442623,0.361702,0.354167,0.77551,0.822222,0.606557,0.587302,0.77551,0.822222,0.711538,0.660377,0.72,0.76087,0.37931,0.627119,0.637931,0.464286,0.557692,0.302326,0.534483,0.534483,0.516129,0.54386,0.54386,0.54386,0.412698,0.387097,0.34375
CheCOSP40,0.589286,0.614035,0.614035,0.589286,0.631579,0.62069,0.564516,0.540984,0.631579,0.596491,0.614035,0.660714,0.625,0.654545,0.618182,0.654545,0.618182,0.711538,0.622642,0.660377,0.711538,0.614035,0.59322,0.637931,0.637931,0.614035,0.574074,0.661017,0.637931,0.633333,0.610169,0.616667,0.59322,0.560606,0.538462,0.614035,0.589286,0.578947,0.553571,0.578947,0.553571,0.578947,0.553571,0.603448,0.578947,0.631579,0.607143,0.490909,0.407407,0.408163,0.36,0.456522,0.404255,0.440678,0.482143,0.482143,0.368421,0.407407,0.407407,0.440678,0.482143,0.440678,0.482143,0.458333,0.454545,0.368421,0.440678,0.36,0.403846,0.54,0.857143,0.755102,0.788462,0.636364,0.294118,0.678571,0.648148,0.510638,0.918367,0.563636,0.535714,0.425926,0.736842,0.660714,0.672131,0.650794,0.472727,0.891304,0.978261,0.519231,0.913043,1,0.918367,0.55,0.557377,0.368421,0.440678,0.423729,0.423729,0.423729,0.423729,0.423729,0.423729,0.5,0.5,0.483871,0.460317,0.36,0.352941,0.857143,0.755102,0.672131,0.650794,0.857143,0.755102,0.788462,0.735849,0.8,0.7,0.4,0.666667,0.706897,0.482759,0.574074,0.276596,0.603448,0.603448,0.580645,0.508197,0.614035,0.614035,0.430769,0.428571,0.40625
CheCOSP41,0.625,0.649123,0.649123,0.625,0.637931,0.627119,0.596774,0.57377,0.666667,0.631579,0.62069,0.696429,0.660714,0.690909,0.654545,0.690909,0.654545,0.784314,0.62963,0.666667,0.75,0.649123,0.627119,0.672414,0.672414,0.649123,0.611111,0.694915,0.672414,0.666667,0.644068,0.65,0.627119,0.590909,0.569231,0.649123,0.625,0.614035,0.589286,0.614035,0.589286,0.614035,0.589286,0.637931,0.614035,0.666667,0.642857,0.5,0.392857,0.392157,0.346154,0.4375,0.387755,0.45,0.491228,0.491228,0.355932,0.392857,0.392857,0.45,0.491228,0.45,0.491228,0.44,0.438596,0.355932,0.45,0.346154,0.388889,0.519231,0.788462,0.692308,0.862745,0.586207,0.283019,0.714286,0.654545,0.489796,1,0.571429,0.54386,0.410714,0.683333,0.610169,0.650794,0.65625,0.482143,0.816327,0.897959,0.5,0.836735,0.918367,1,0.557377,0.564516,0.355932,0.45,0.433333,0.433333,0.433333,0.433333,0.433333,0.433333,0.508197,0.508197,0.492063,0.46875,0.346154,0.339623,0.788462,0.692308,0.650794,0.65625,0.788462,0.692308,0.862745,0.807692,0.735849,0.641509,0.409836,0.645161,0.655738,0.491525,0.526316,0.265306,0.610169,0.610169,0.5625,0.492063,0.62069,0.62069,0.41791,0.460317,0.393939
CheCOSP42-R,0.47541,0.5,0.5,0.47541,0.46875,0.461538,0.462687,0.439394,0.516129,0.483871,0.453125,0.492063,0.460317,0.483871,0.451613,0.483871,0.451613,0.525424,0.45,0.483333,0.5,0.52459,0.532258,0.5,0.5,0.47619,0.592593,0.477612,0.454545,0.5,0.476923,0.53125,0.507937,0.464789,0.442857,0.5,0.47541,0.467742,0.442623,0.467742,0.442623,0.467742,0.442623,0.516129,0.491803,0.492063,0.467742,0.40678,0.45283,0.458333,0.468085,0.387755,0.395833,0.622642,0.555556,0.555556,0.519231,0.45283,0.45283,0.622642,0.555556,0.622642,0.555556,0.42,0.472727,0.519231,0.622642,0.4375,0.510204,0.56,0.642857,0.581818,0.649123,0.568965,0.395833,0.727273,0.666667,0.411765,0.557377,0.851064,0.851064,0.591837,0.5625,0.516129,0.66129,0.693548,0.708333,0.517241,0.559322,0.538462,0.508475,0.55,0.557377,1,0.92,0.519231,0.622642,0.603774,0.603774,0.603774,0.603774,0.603774,0.603774,0.716981,0.716981,0.754717,0.754717,0.4375,0.4,0.614035,0.553571,0.634921,0.666667,0.614035,0.553571,0.62069,0.603448,0.596491,0.535714,0.574074,0.683333,0.639344,0.5,0.433333,0.196078,0.323944,0.323944,0.375,0.328571,0.347826,0.347826,0.446154,0.358209,0.378788
